,segmented_rmse,pooled_rmse,pooled_wins
Kumamoto,0.10658137915810474,0.05259758150765983,True
Chiba,0.09020457965872641,0.058958824906026566,True
Miyagi,0.19426778548005075,0.06420330243592577,True
Shiga,0.06276293640417627,0.06761377224545,False
Oita,0.11488129386287706,0.0688092506843982,True
Fukushima,0.17610754401325887,0.06978825986589818,True
Kanagawa,0.13705048306120007,0.07088422082417944,True
Aichi,0.12464479422632406,0.07180030200225354,True
Iwate,0.1057251419677045,0.07335922083620666,True
Nagasaki,0.10670843692566656,0.07838182601973795,True
Fukuoka,0.13281538555564892,0.078412657371597,True
Shizuoka,0.0934037214687539,0.07855314284823008,True
Gifu,0.11792762086815164,0.0808087992708248,True
Okayama,0.1277226083582963,0.08146307885886973,True
Kagoshima,0.17842706290985666,0.08220234818896029,True
Kagawa,0.11375160475639363,0.08482084995301772,True
Hyogo,0.12151411106284032,0.08567442663335278,True
Akita,0.17587029247874095,0.0863721893485867,True
Tochigi,0.20645832153974011,0.08974529988774942,True
Miyazaki,0.1675089962119962,0.08987198965325112,True
Ehime,0.08956991611151285,0.09041803852431843,False
Osaka,0.16978563424725251,0.09055191429666247,True
Gunma,0.1370867175405694,0.09088407200800466,True
Ishikawa,0.1519470831482687,0.09109164839068001,True
Niigata,0.10993953234836124,0.09123289454440478,True
Nagano,0.11688620558648707,0.09127200685059479,True
Saitama,0.08619450700240705,0.09163278975006425,False
Hiroshima,0.13745322015961597,0.09342622025649946,True
Mie,0.1899129724223851,0.0956324422690058,True
Ibaraki,0.20482839320360013,0.09626460083379208,True
Yamaguchi,0.15281969167981904,0.096372100140866,True
Nara,0.1435437437585581,0.1006116772532303,True
Kochi,0.17632069130991715,0.10839214751540283,True
Tottori,0.12782612965652707,0.11181769844533351,True
Wakayama,0.14328864020704063,0.11215197331701299,True
Aomori,0.0882772743303102,0.11356803429581896,False
Toyama,0.15983968577039723,0.11599167513556874,True
Shimane,0.09493091226563599,0.1167148894868555,False
Yamanashi,0.1688412325502397,0.12263017205475524,True
Kyoto,0.13664427266226004,0.12365164065251327,True
Yamagata,0.19592474933929954,0.12375638860573594,True
Tokushima,0.13376802999158038,0.1250661726445221,True
Saga,0.3428249932497711,0.13110050963606232,True
Fukui,0.26703941383677876,0.13608117026691474,True
Okinawa,0.21799752304075198,0.14103548482372236,True
Tokyo,0.12858448200880648,0.14151574966021624,False
Hokkaido,0.1590758678089417,0.15089372420207528,True
